0,17.288,20.572,13.283,50.966,44.623,17.532,30.173,1.654,46.308,19.321,16.078,4.96,14.455,47.64,42.754,44.352,6.709,8.491,3.543,12.423
17.288,0,21.4,17.25,51.794,45.451,5.986,31,18.439,47.136,12.9,20.045,20.425,20.222,48.467,43.581,45.18,17.441,15.455,16.422,16.389
20.572,21.4,0,20.534,50.846,44.503,21.644,30.052,21.723,46.188,23.433,23.329,23.709,23.507,47.519,42.634,44.232,20.726,18.739,19.707,19.674
13.283,17.25,20.534,0,50.928,44.585,17.494,30.134,14.434,46.27,19.283,4.01,16.42,16.218,47.602,42.716,44.314,13.437,11.45,12.418,1.872
50.966,51.794,50.846,50.928,0,51.087,52.038,52.101,52.117,52.772,53.827,53.723,54.103,53.901,54.103,49.218,50.816,51.12,49.133,50.101,50.068
44.623,45.451,44.503,44.585,51.087,0,45.695,45.758,45.774,38.054,47.484,47.38,47.76,47.558,39.385,34.499,36.098,44.777,42.79,43.758,43.725
17.532,5.986,21.644,17.494,52.038,45.695,0,31.244,18.683,47.38,13.144,20.289,20.669,20.466,48.711,43.825,45.423,17.685,15.698,16.666,16.633
30.173,31,30.052,30.134,52.101,45.758,31.244,0,31.323,47.443,33.033,32.929,33.31,33.107,48.774,43.888,45.486,30.326,28.339,29.307,29.274
1.654,18.439,21.723,14.434,52.117,45.774,18.683,31.323,0,47.459,20.472,17.229,6.11,15.606,48.791,43.905,45.503,7.86,9.642,4.694,13.574
46.308,47.136,46.188,46.27,52.772,38.054,47.38,47.443,47.459,0,49.169,49.065,49.445,49.243,22.035,17.15,34.695,46.462,44.475,45.443,45.41
19.321,12.9,23.433,19.283,53.827,47.484,13.144,33.033,20.472,49.169,0,22.078,22.458,22.255,50.5,45.615,47.213,19.475,17.488,18.455,18.422
16.078,20.045,23.329,4.01,53.723,47.38,20.289,32.929,17.229,49.065,22.078,0,19.215,19.013,50.397,45.511,47.109,16.232,14.245,15.213,4.667
4.96,20.425,23.709,16.42,54.103,47.76,20.669,33.31,6.11,49.445,22.458,19.215,0,17.592,50.777,45.891,47.489,9.846,11.628,6.68,15.56
14.455,20.222,23.507,16.218,53.901,47.558,20.466,33.107,15.606,49.243,22.255,19.013,17.592,0,50.574,45.688,47.286,14.608,12.622,13.589,15.357
47.64,48.467,47.519,47.602,54.103,39.385,48.711,48.774,48.791,22.035,50.5,50.397,50.777,50.574,0,16.363,36.026,47.793,45.806,46.774,46.741
42.754,43.581,42.634,42.716,49.218,34.499,43.825,43.888,43.905,17.15,45.615,45.511,45.891,45.688,16.363,0,31.14,42.907,40.921,41.888,41.855
44.352,45.18,44.232,44.314,50.816,36.098,45.423,45.486,45.503,34.695,47.213,47.109,47.489,47.286,36.026,31.14,0,44.506,42.519,43.486,43.454
6.709,17.441,20.726,13.437,51.12,44.777,17.685,30.326,7.86,46.462,19.475,16.232,9.846,14.608,47.793,42.907,44.506,0,8.644,5.844,12.576
8.491,15.455,18.739,11.45,49.133,42.79,15.698,28.339,9.642,44.475,17.488,14.245,11.628,12.622,45.806,40.921,42.519,8.644,0,7.625,10.59
3.543,16.422,19.707,12.418,50.101,43.758,16.666,29.307,4.694,45.443,18.455,15.213,6.68,13.589,46.774,41.888,43.486,5.844,7.625,0,11.557
12.423,16.389,19.674,1.872,50.068,43.725,16.633,29.274,13.574,45.41,18.422,4.667,15.56,15.357,46.741,41.855,43.454,12.576,10.59,11.557,0
