Lat,Long,Year
38.17364565,-107.7611045,2009
38.43577805,-108.1532276,2010
38.25587856,-107.7779277,2010
38.30185014,-108.4256051,2010
38.49041891,-108.1895258,2010
38.25385557,-107.7743407,2011
38.31709271,-108.4340779,2011
38.40834962,-107.8977717,2011
38.27397411,-108.3943696,2012
38.19903191,-108.2068461,2012
38.34275163,-108.4504365,2012
38.27478894,-108.4454567,2013
38.07279637,-108.1592978,2014
38.23725484,-107.7703279,2013
38.25397033,-108.4585156,2014
38.32305914,-108.4588028,2014
38.29513812,-108.3862495,2008
38.50669773,-108.1163928,2008
38.06756154,-108.1521128,2009
38.49708988,-108.1893123,2009
