individual,name1,name2,disease,latitude,longitude
1,X1058,F111,coinfected,38.43450192000,-108.15410240000
2,X1078,F113,FFV,38.27433531000,-107.77243650000
3,X1080,F116,coinfected,38.23064331000,-108.37542460000
4,X1128,F108,uninfected,38.38218634000,-107.95237790000
5,X1129,F118,FFV,38.28762064000,-108.44604560000
6,X1130,M114,coinfected,38.25587856000,-107.77792770000
7,X1131,M67,coinfected,38.30185014000,-108.42560510000
8,X1153,F119,coinfected,38.16917892000,-108.26045220000
9,X124,UPCOPuma23,FFV,38.23226243000,-108.37008880000
10,X127,UPCOPuma27,FFV,38.32743849000,-108.45642950000
11,X128,UPCOPuma28,FFV,38.28141605000,-108.45199010000
12,X129,UPCOPuma29,FFV,38.30130167000,-108.44454810000
13,X130,UPCOPuma3,FFV,38.37442503000,-107.95787620000
14,X131,UPCOPuma30,FFV,38.29166635000,-107.87511630000
15,X132,UPCOPuma31,FFV,38.14301583000,-108.18241360000
16,X133,UPCOPuma4,PLV-B,38.27174915000,-107.77130950000
17,X134,UPCOPuma5,uninfected,38.36986916000,-107.96946650000
18,X1341,M133,PLV-B,38.49041891000,-108.18952580000
19,X1344,P1019,uninfected,38.24762617000,-107.76726200000
20,X1365,M112,uninfected,38.29595453000,-107.84607520000
21,X1366,M134,uninfected,38.53168568000,-108.26747920000
22,X1367,M138,uninfected,38.34783085000,-107.98574940000
23,X1368,F104,coinfected,38.49714699000,-108.18931230000
24,X1369,F135,FFV,38.41969430000,-108.07217380000
25,X1370,F136,coinfected,38.25385557000,-107.77434070000
26,X1371,F137,FFV,38.40444289000,-108.04784110000
27,X1380,M87,PLV-B,38.31709271000,-108.43407790000
28,X1381,M150,PLV-B,38.29595453000,-107.84607520000
29,X1388,F24,FFV,38.24874029000,-108.32157520000
30,X1389,F70,PLV-B,38.34776412000,-107.94118540000
31,X1390,F143,FFV,38.26736731000,-108.44242390000
32,X1391,M151,FFV,38.46632155000,-108.12570350000
33,X1397,M144,FFV,38.29741312000,-108.40220900000
34,X1398,F152,uninfected,38.40049960000,-108.09813410000
35,X1399,F145,FFV,38.29251338000,-108.40229230000
36,X140,UPCOPuma6,coinfected,38.39855080000,-107.89253730000
37,X1400,F146,FFV,38.30164743000,-108.41967790000
38,X141,UPCOPuma69,PLV-B,38.33400467000,-107.88090790000
39,X142,UPCOPuma7,coinfected,38.31025542000,-107.90127050000
40,X143,UPCOPuma70,PLV-B,38.32416173000,-107.89274410000
41,X1500,M153,uninfected,38.27176728000,-107.77168730000
42,X1645,F140,uninfected,38.29765898000,-108.42635930000
43,X1648,F163,PLV-B,38.21006806000,-108.34844850000
44,X1649,F171,PLV-B,38.28536925000,-107.77713180000
45,X1650,M160,PLV-B,38.19903191000,-108.20684610000
46,X1651,M164,coinfected,38.35467608000,-108.45433200000
47,X1652,M165,PLV-B,38.34275163000,-108.45043650000
48,X1662,M190,PLV-B,38.27478894000,-108.44545670000
49,X1663,F181,uninfected,38.33115264000,-107.90991380000
50,X1664,F129,uninfected,38.30178172000,-108.01877330000
51,X1665,M196,coinfected,38.07279637000,-108.15929780000
52,X1666,F95,FFV,38.46782848000,-108.05908810000
53,X1667,M183,FFV,38.44515640000,-108.17713710000
54,X1668,F182,coinfected,38.23725484000,-107.77032790000
55,X1670,F194,FFV,38.14264881000,-108.23349560000
56,X1682,M178,uninfected,38.19486435000,-107.75117400000
57,X1683,M179,uninfected,38.41989388000,-108.07131560000
58,X1684,F210,PLV-B,38.19474714000,-107.75155780000
59,X1685,M211,coinfected,38.19666268000,-107.75202760000
60,X1686,M220,FFV,38.18754770000,-108.45032370000
61,X1687,F212,PLV-B,38.54964805000,-108.18601740000
62,X1688,M213,FFV,38.48174350000,-108.11647370000
63,X1691,F224,coinfected,38.25397033000,-108.45851560000
64,X1693,F214,uninfected,38.20235380000,-107.74100640000
65,X1694,M215,FFV,38.29084651000,-107.78021940000
66,X1695,M226,FFV,38.28054670000,-107.76847590000
67,X224,UPCOPuma71,uninfected,38.42350421000,-108.08344690000
68,X285,UPCOPuma73,coinfected,38.29513812000,-108.38624950000
69,X286,UPCOPuma72,FFV,38.22681026000,-107.76127560000
70,X300,F74,FFV,38.27465331000,-108.37438870000
71,X301,F75,FFV,38.27263428000,-108.33770420000
72,X387,F66,FFV,38.34070965000,-107.90737050000
73,X418,F16,uninfected,38.23450621000,-107.78174020000
74,X431,F96,PLV-B,38.32874466000,-107.88558340000
75,X579,UPCOPuma82,uninfected,38.30805863000,-108.40687190000
76,X686,UPCOPuma100,PLV-B,38.06756154000,-108.15211280000
77,X879,UPCO Puma104,coinfected,38.49708988000,-108.18931230000
78,X989,F110,uninfected,38.17319475000,-108.42701300000
